period,hcr_type,strategy,change_par,change_type,direction,B_cons,Binit,chng_time2,discount_rate,error_rho,error_cv,error_rep,metric,value
tot,slope,SQ,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Bcv,0.3011860407227389
tot,slope,SQ,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Hcm,4747.541897769276
tot,slope,SQ,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Hcv,0.5109751256780629
tot,slope,SQ,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Hrmn,0.1008639008110027
tot,slope,SQ,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Rcm,3298.0362796599184
tot,slope,SQ,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Rcv,0.6037224614246227
tot,slope,SQ,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,N_neg,0
tot,slope,SQ,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_Bcons_true,0.7
tot,slope,SQ,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_Bcons_fixed,1
tot,slope,SQ,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_BMSY_true,0
tot,slope,SQ,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_BMSY_fixed,0.29
tot,slope,SQ,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_0.2BMSY_true,0
tot,slope,SQ,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_0.2BMSY_fixed,0
tot,slope,SQ,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_UMSY_true,0.28
tot,slope,SQ,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,propl_UMSY_fixed,0.28
pre,slope,SQ,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Bmn,500
pre,slope,SQ,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Bcv,0
pre,slope,SQ,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Hcm,4312.5
pre,slope,SQ,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Hcv,0
pre,slope,SQ,K,step,decrease,1.2,500,70,0.01,NA,NA,NA,Hrmn,0.125
