period,hcr_type,strategy,change_par,change_type,direction,Binit,chng_time2,discount_rate,error_rho,error_cv,error_rep,metric,value,par_A,per_change
post,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Hcm,1142.5363385631035,1000,-60
post,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Hcv,0.4766287768423123,1000,-60
post,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Hrmn,0.0680999681287003,1000,-60
post,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Rcm,567.179523911879,1000,-60
post,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,Rcv,0.6509622885536156,1000,-60
post,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,N_neg,0,1000,-60
post,slope,SQ,K,step,decrease,500,50,0.01,NA,NA,NA,C_lim,0,1000,-60
tot,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Bmn,400.30003468045646,1000,-45
tot,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Bcv,0.2637949827354167,1000,-45
tot,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcm,5031.855021375898,1000,-45
tot,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcv,0.2615809857162019,1000,-45
tot,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Hrmn,0.125,1000,-45
tot,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Rcm,3370.1245586567447,1000,-45
tot,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Rcv,0.4944774063193876,1000,-45
tot,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,N_neg,0,1000,-45
tot,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,C_lim,0,1000,-45
pre,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Bmn,500,1000,-45
pre,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Bcv,0,1000,-45
pre,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcm,3062.5,1000,-45
pre,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcv,0,1000,-45
pre,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Hrmn,0.125,1000,-45
pre,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Rcm,2408.9997868406726,1000,-45
pre,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Rcv,0.1426016372520952,1000,-45
pre,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,N_neg,0,1000,-45
pre,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,C_lim,0,1000,-45
post,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Bmn,304.5098719224637,1000,-45
post,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Bcv,0.17920783112186364,1000,-45
post,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcm,1969.3550213758983,1000,-45
post,slope,GCA,K,step,decrease,500,50,0.01,NA,NA,NA,Hcv,0.19704410297983052,1000,-45
