period,hcr_type,strategy,change_par,change_type,direction,B_cons,Binit,chng_time2,discount_rate,error_rho,error_cv,error_rep,metric,value,par_A,per_change
pre,slope,update_4,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_0.2BMSY_true,0,250,300
pre,slope,update_4,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_0.2BMSY_fixed,0,250,300
pre,slope,update_4,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_UMSY_true,0.8163265306122449,250,300
pre,slope,update_4,K,grad,increase,1.2,125,50,0.01,0.5,0.8,100,propl_UMSY_fixed,0.8163265306122449,250,300
pre,slope,GCA,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Bmn,461.64196268490423,0.25,-75
pre,slope,GCA,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Bcv,0.20292316437202126,0.25,-75
pre,slope,GCA,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Hcm,1768.1078567985885,0.25,-75
pre,slope,GCA,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Hcv,0.6262366887681619,0.25,-75
pre,slope,GCA,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Hrmn,0.072136309882371,0.25,-75
pre,slope,GCA,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Rcm,1507.1277845281722,0.25,-75
pre,slope,GCA,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Rcv,0.7393128945262625,0.25,-75
pre,slope,GCA,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,N_neg,0,0.25,-75
pre,slope,GCA,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_Bcons_true,0.8775510204081632,0.25,-75
pre,slope,GCA,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_Bcons_fixed,0.8775510204081632,0.25,-75
pre,slope,GCA,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_BMSY_true,0.7346938775510204,0.25,-75
pre,slope,GCA,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_BMSY_fixed,0.7346938775510204,0.25,-75
pre,slope,GCA,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_0.2BMSY_true,0,0.25,-75
pre,slope,GCA,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_0.2BMSY_fixed,0,0.25,-75
pre,slope,GCA,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_UMSY_true,0.6938775510204082,0.25,-75
pre,slope,GCA,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_UMSY_fixed,0.9591836734693877,0.25,-75
pre,slope,SQ,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Bmn,392.32689758331753,0.25,-75
pre,slope,SQ,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Bcv,0.33478661762063,0.25,-75
pre,slope,SQ,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Hcm,1854.5606423359416,0.25,-75
pre,slope,SQ,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Hcv,0.624232457648343,0.25,-75
pre,slope,SQ,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Hrmn,0.08647891988620078,0.25,-75
pre,slope,SQ,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Rcm,1579.0676964606412,0.25,-75
pre,slope,SQ,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Rcv,0.7368407449768289,0.25,-75
pre,slope,SQ,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,N_neg,0,0.25,-75
pre,slope,SQ,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_Bcons_true,0.8979591836734694,0.25,-75
pre,slope,SQ,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_Bcons_fixed,0.8979591836734694,0.25,-75
pre,slope,SQ,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_BMSY_true,0.8163265306122449,0.25,-75
pre,slope,SQ,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_BMSY_fixed,0.8163265306122449,0.25,-75
pre,slope,SQ,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_0.2BMSY_true,0,0.25,-75
pre,slope,SQ,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_0.2BMSY_fixed,0,0.25,-75
pre,slope,SQ,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_UMSY_true,0.04081632653061224,0.25,-75
pre,slope,SQ,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_UMSY_fixed,0.7959183673469388,0.25,-75
pre,slope,GCA,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,Bmn,449.69193952465093,0.0625,300
pre,slope,GCA,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,Bcv,0.1569237669133612,0.0625,300
